Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	HansVijlbrief	Vijlbrief, Hans	M	1963	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	HansVijlbrief	Vijlbrief, Hans	M	1963	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	HansVijlbrief	Vijlbrief, Hans	M	1963	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	HansVijlbrief	Vijlbrief, Hans	M	1963	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u22	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u23	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	HansVijlbrief	Vijlbrief, Hans	M	1963	
ParlaMint-NL-en_2020-02-18-tweedekamer-5	ParlaMint-NL_2020-02-18-tweedekamer-5.u24	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2020-02-18)	2020-02-18	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 55	Sitting 2020-02-18	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
