Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u12	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	Vuye_Wouters	Vuye & Wouters: V-Kamerleden	Opposition	-	VuyeHendrik	Vuye, Hendrik	M	1962	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u13	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u14	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u15	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u16	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u17	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u18	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u19	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u20	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u21	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u22	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u23	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u24	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VerherstraetenServais	Verherstraeten, Servais	M	1960	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u25	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u26	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-18-54-plenair-ip135x	ParlaMint-BE_2016-10-18-54-plenair-ip135x.u27	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 18-10-2016	2016-10-18	Lower house	Zittingperiode 54	-	Plenaire zitting 135 van 18-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
