Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u13	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KarenGerbrands	Gerbrands, Karen	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u14	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u15	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u16	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u17	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u18	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u19	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u20	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u21	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u22	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u23	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-03-tweedekamer-4	ParlaMint-NL_2015-03-03-tweedekamer-4.u24	Report of the meeting of the Dutch Lower House, Meeting 58, Session 4 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
